v1,city_id,city,year,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v8,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted,lg101214,urban_population,total_population,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,agri_gdp,nonagri_gdp,non_agri_share,agri_gdp_empgr,nonagri_gdp_empgr,ln_total_population,urban_pop_percent
1139,220700,松原市,2020,5.5774345,7.1178069,10.852226,7189,220000,Jilin (province),6.9604306,5.5258856,10.739411,7.1741085,9,7,14,3,4,11,1.0001951,.95581543,1.1251775,9.9230356,680746.94,3009656.3,,,,,,,251.10861,1054.0874,.80760849,,,14.917336,.2261876
1140,220800,白城市,2001,3.6813993,4.5922608,8.8671341,135,220000,Jilin (province),4.5287457,3.638042,8.8172789,4.8725953,11,10,38,3,5,24,.97232687,.83495635,.96721745,10.139668,525543.5,2132956.8,16.75,30.09,53.16,.85000002,83.25,-.85000002,38.017326,92.642281,.70903534,32.314728,-78.745941,14.57302,.24639201
1141,220800,白城市,2002,3.7564683,4.7043858,8.9669895,506,220000,Jilin (province),4.6743426,3.7310364,8.9349709,5.0031705,11,10,38,3,5,24,.97108525,.8358047,.96830362,10.140668,556947.63,2142942.3,17.33,29.49,53.18,.57999998,82.669998,-.57999998,41.722328,107.1621,.71976703,24.19895,-62.154018,14.57769,.25989857
1142,220800,白城市,2003,3.831429,4.8163524,9.066721,877,220000,Jilin (province),4.7447853,3.8048189,8.9809437,5.0745502,11,10,38,3,5,24,.96987438,.83661467,.96933776,10.139997,607325.63,2097832,14.53,30.889999,54.580002,-2.8,85.470001,2.8,44.917114,114.98312,.71909285,-125.76792,321.95273,14.556415,.28950155
1143,220800,白城市,2004,3.9061091,4.9279265,9.1661234,1248,220000,Jilin (province),4.8544326,3.8955209,9.1022358,5.1789117,11,10,38,3,5,24,.96870399,.837403,.97031254,10.137845,581088.63,2113090.3,16.1,29.860001,54.040001,1.5700001,83.900002,-1.5700001,49.181667,128.30786,.72290385,77.215218,-201.44334,14.563662,.2749947
1144,220800,白城市,2005,3.9802706,5.0386949,9.2647762,1619,220000,Jilin (province),5.0264096,3.9797225,9.2534618,5.3273277,11,10,38,3,5,24,.96758229,.83818185,.97123194,10.1375,582895.63,2125207.5,24.48,13.13,62.389999,8.3800001,75.519997,-8.3800001,53.502186,152.3849,.74013823,448.34833,-1276.9855,14.56938,.27427703
1145,220800,白城市,2006,4.053648,5.1480608,9.3621025,1990,220000,Jilin (province),5.1088042,4.0140057,9.3276978,5.3974409,11,10,38,3,5,24,.96651238,.8389495,.97209471,10.13717,647749.5,2137902.3,22.83,17.469999,59.700001,-1.65,77.169998,1.65,55.368214,165.47237,.74928427,-91.357552,273.02939,14.575336,.30298367
1146,220800,白城市,2007,4.1259756,5.2553983,9.4574947,2361,220000,Jilin (province),5.2538109,4.0886908,9.456542,5.5252762,11,10,38,3,5,24,.96550173,.8397119,.97291023,10.137651,701549.5,2151156.5,22.030001,16.02,61.950001,-.80000001,77.970001,.80000001,59.661728,191.29388,.76226181,-47.729382,153.03511,14.581516,.32612666
1147,220800,白城市,2008,4.196887,5.3599801,9.5502586,2732,220000,Jilin (province),5.325141,4.1918497,9.5300264,5.6042652,11,10,38,3,5,24,.96454781,.84045827,.97368461,10.13857,710558.5,2164493.5,21.690001,16.450001,61.860001,-.34,78.309998,.34,66.145027,205.43732,.75644577,-22.489309,69.848686,14.587697,.32827935
1148,220800,白城市,2009,4.2659245,5.4610786,9.6396999,3103,220000,Jilin (province),5.5534916,4.2712173,9.7380476,5.7983227,11,10,38,3,5,24,.96364486,.84117401,.97441256,10.138926,714849.5,2178447,19.84,14.73,65.43,-1.85,80.160004,1.85,71.608757,258.1373,.78283668,-132.4762,477.55402,14.594123,.32814637
1149,220800,白城市,2010,4.3326168,5.5578761,9.7250719,3474,220000,Jilin (province),5.6732736,4.3729606,9.8366156,5.9142151,11,10,38,3,5,24,.96277475,.84182382,.97508937,10.138005,760366.56,2164628.5,18.370001,13.56,68.07,-1.47,81.629997,1.47,79.277992,290.98553,.78588766,-116.53865,427.74875,14.587759,.35126886
1150,220800,白城市,2011,4.3965049,5.6497879,9.8058739,3845,220000,Jilin (province),5.8250866,4.4719634,9.9658146,6.0549531,11,10,38,3,5,24,.96193337,.84239799,.97571325,10.135667,759997.56,2175308.3,18.110001,16.67,65.230003,-.25999999,81.900002,.27000001,87.528412,338.69046,.79463977,-22.757387,91.446426,14.592681,.34937465
1151,220800,白城市,2012,4.4572325,5.7365165,9.8818855,4216,220000,Jilin (province),5.9214625,4.565711,10.057924,6.1507897,11,10,38,3,5,24,.9611237,.84289896,.97628427,10.132766,581710.69,2048885,15.87,21.450001,62.68,-2.24,84.129997,2.23,96.13092,372.95679,.79506832,-215.33327,831.69366,14.532806,.28391573
1152,220800,白城市,2013,4.5146313,5.8182039,9.9532843,4587,220000,Jilin (province),5.8544321,4.6300545,9.9769993,6.1121244,11,10,38,3,5,24,.96035773,.84335077,.97680247,10.129547,623961.69,2058631.9,12.25,22.41,65.339996,-3.6199999,87.75,3.6199999,102.51965,348.77676,.77283299,-371.12109,1262.5719,14.537552,.30309531
1153,220800,白城市,2014,4.5688028,5.895453,10.02069,4958,220000,Jilin (province),5.9126558,4.636189,10.03648,6.158751,11,10,38,3,5,24,.95965952,.84379852,.97726804,10.127254,621508.75,2067666,12.31,21.219999,66.470001,.059999999,87.690002,-.059999999,103.15049,369.68668,.78184777,6.1890292,-22.1812,14.541931,.3005847
1154,220800,白城市,2015,4.6201396,5.9689584,10.084779,5329,220000,Jilin (province),5.9729309,4.6620131,10.082914,6.2116113,11,10,38,3,5,24,.95903432,.84426308,.97768903,10.125907,625844.75,2085637,11.03,21.459999,67.510002,-1.28,88.970001,1.28,105.84895,392.65482,.78766668,-135.48665,502.59814,14.550585,.30007368
1155,220800,白城市,2016,4.6692009,6.0394573,10.14627,5700,220000,Jilin (province),6.0121965,4.6765432,10.114829,6.2456756,11,10,38,3,5,24,.95847398,.84474587,.97807753,10.125522,627073.75,2094900.8,10.75,21.07,68.18,-.28,89.25,.28,107.39818,408.37936,.79177421,-30.071489,114.34622,14.555017,.29933339
1156,220800,白城市,2017,4.7166505,6.107697,10.205874,6071,220000,Jilin (province),6.0810647,4.6451569,10.163099,6.2944803,11,10,38,3,5,24,.9579652,.84524149,.97844541,10.127978,623570.75,2103585.5,9.6899996,19.41,70.900002,-1.0599999,90.309998,1.0599999,104.07969,437.49475,.80782014,-110.32446,463.74442,14.559154,.29643232
1157,220800,白城市,2018,4.7631721,6.1743565,10.264228,6442,220000,Jilin (province),6.1577702,4.6800179,10.228838,6.3632789,11,10,38,3,5,24,.95749277,.84574056,.97880036,10.130725,628462.75,2111726.8,8.6300001,16.48,74.900002,-1.0599999,91.379997,1.0700001,107.772,472.37357,.81423283,-114.23832,505.43973,14.563017,.29760608
1158,220800,白城市,2019,4.809269,6.2400479,10.321856,6813,220000,Jilin (province),6.1703949,4.7421455,10.260825,6.3852873,11,10,38,3,5,24,.95704091,.84623253,.97914571,10.130502,638128.75,2119230,3.4100001,16,80.589996,-5.2199998,96.589996,5.21,114.67999,478.37497,.80662841,-598.62952,2492.3335,14.566564,.30111349
1159,220800,白城市,2020,4.8552375,6.3053427,10.379198,7184,220000,Jilin (province),6.1466041,4.8039103,10.264767,6.3786211,11,10,38,3,5,24,.95659852,.8467136,.97948331,10.128684,640993.69,2125916.3,,,,,,,121.98648,467.12836,.79293257,,,14.569714,.30151409
1160,222400,延边朝鲜族自治州,2001,4.1066742,7.9103775,8.8343019,264,220000,,7.8541288,4.087883,8.7902603,7.8770041,11,1,25,3,1,18,.96872663,1.4382502,1.0789503,8.8074226,1007271.8,2366143.3,,,,,,,59.613556,2576.3496,.97738451,,,14.676772,.42570192
1161,222400,延边朝鲜族自治州,2002,4.1787558,8.0290956,8.9403162,635,220000,,7.9684749,4.1520438,8.8821974,7.9902425,11,1,25,3,1,18,.96819669,1.4264894,1.0771565,8.7843008,1110907.1,2378885,,,,,,,63.563782,2888.4487,.97846764,,,14.682142,.46698648
1162,222400,延边朝鲜族自治州,2003,4.2507901,8.1476736,9.0462217,1006,220000,,8.0183706,4.2028069,8.9107018,8.0401573,11,1,25,3,1,18,.96768153,1.4152751,1.0754347,8.7714748,1142870,2297799.8,,,,,,,66.873779,3036.2261,.97844934,,,14.647463,.49737582
1163,222400,延边朝鲜族自治州,2004,4.3226633,8.2658176,9.1517601,1377,220000,,8.1890793,4.3137612,9.0859013,8.2096148,11,1,25,3,1,18,.96718597,1.4046112,1.0737883,8.7595654,1097626.1,2329572,,,,,,,74.721001,3601.4048,.97967398,,,14.661195,.47117072
1164,222400,延边朝鲜族自治州,2005,4.3941426,8.3829145,9.25634,1748,220000,,8.3731213,4.3754086,9.2480202,8.3913126,11,1,25,3,1,18,.96670121,1.3944894,1.0722215,8.7433615,1097185.4,2344116,,,,,,,79.472313,4329.1274,.98197335,,,14.667418,.46805933
1165,222400,延边朝鲜族自治州,2006,4.4649715,8.4981556,9.3592005,2119,220000,,8.507267,4.4315038,9.3652115,8.5241041,11,1,25,3,1,18,.96621281,1.384895,1.0707332,8.7402678,1160292,2341821,,,,,,,84.057724,4950.6147,.9833042,,,14.666439,.4954657
1166,222400,延边朝鲜族自治州,2007,4.5348468,8.6107092,9.4595633,2490,220000,,8.6242714,4.5147882,9.4707117,8.6405544,11,1,25,3,1,18,.9657129,1.3758262,1.0693226,8.7352886,1213334.9,2356006.3,,,,,,,91.358208,5565.1064,.98384887,,,14.672479,.51499647
1167,222400,延边朝鲜族自治州,2008,4.6033826,8.7197666,9.5566635,2861,220000,,8.7384653,4.6040225,9.5769176,8.7543497,11,1,25,3,1,18,.9651947,1.3672812,1.0679922,8.7395554,1220749.8,2370609,,,,,,,99.8853,6238.3145,.98424077,,,14.678658,.51495194
1168,222400,延边朝鲜族自治州,2009,4.6701422,8.8245525,9.6497641,3232,220000,,8.9321938,4.6710997,9.7629385,8.9462023,11,1,25,3,1,18,.96465093,1.3592525,1.066743,8.7203226,1235284.5,2385473.8,,,,,,,106.81514,7571.8579,.98608935,,,14.684908,.51783615
1169,222400,延边朝鲜族自治州,2010,4.7346902,8.9243393,9.7381783,3603,220000,,9.0338726,4.7656841,9.843235,9.0477829,11,1,25,3,1,18,.96407223,1.3517252,1.0655792,8.7117796,1317927.1,2368819.5,,,,,,,117.41142,8382.2578,.98618633,,,14.677902,.55636454
1170,222400,延边朝鲜族自治州,2011,4.7965941,9.0186672,9.8215036,3974,220000,,9.1682339,4.8728218,9.9592934,9.1817732,11,1,25,3,1,18,.96346664,1.3447065,1.0645047,8.7160969,1316175.3,2381274.3,,,,,,,130.68918,9587.6768,.98655236,,,14.683146,.55271888
1171,222400,延边朝鲜族自治州,2012,4.8554993,9.1073503,9.8996,4345,220000,,9.2369699,4.9628062,10.02475,9.2507973,11,1,25,3,1,18,.96284664,1.3381947,1.063518,8.7076702,1282977.5,2293606,,,,,,,142.99451,10269.873,.98626751,,,14.645636,.55937135
1172,222400,延边朝鲜族自治州,2013,4.9112406,9.1905785,9.9726715,4716,220000,,9.2530699,5.0136585,10.021745,9.2673826,11,1,25,3,1,18,.96222836,1.3321776,1.0626143,8.7057133,1314404.9,2304225.5,,,,,,,150.45418,10436.556,.98578882,,,14.650255,.57043242
1173,222400,延边朝鲜族自治州,2014,4.963922,9.2688627,10.041233,5087,220000,,9.3002005,5.0291228,10.070991,9.3140707,11,1,25,3,1,18,.96162689,1.3266246,1.0617841,8.7072859,1238634.5,2310037.3,,,,,,,152.79892,10940.212,.98622566,,,14.652774,.53619677
1174,222400,延边朝鲜族自治州,2015,5.0139031,9.3428726,10.105927,5458,220000,,9.3612986,5.0511551,10.120129,9.3746405,11,1,25,3,1,18,.96104544,1.3214772,1.0610151,8.7106142,1206417.8,2330306.3,,,,,,,156.20279,11629.48,.98674637,,,14.66151,.51770782
1175,222400,延边朝鲜族自治州,2016,5.0617065,9.4133558,10.167464,5829,220000,,9.4182673,5.0746136,10.171053,9.4311724,11,1,25,3,1,18,.9604761,1.3166569,1.0602974,8.7031221,1209232.4,2340711.5,,,,,,,159.91039,12311.231,.98717755,,,14.665965,.51660889
1176,222400,延边朝鲜族自治州,2017,5.1079488,9.4811049,10.226596,6200,220000,Jilin (province),9.466589,5.04741,10.200775,9.4785614,11,1,25,3,1,18,.95991015,1.3120859,1.0596182,8.7247334,1184762.5,2348313.3,,,,,,,155.6189,12920.739,.98809922,,,14.669208,.50451636
1177,222400,延边朝鲜族自治州,2018,5.1532769,9.5469246,10.284081,6571,220000,Jilin (province),9.5168295,5.0688424,10.241137,9.5284634,11,1,25,3,1,18,.95934474,1.3077025,1.0589643,8.7373295,1161071.3,2358902,,,,,,,158.99017,13586.467,.98843324,,,14.673707,.49220833
1178,222400,延边朝鲜族自治州,2019,5.1981888,9.6115856,10.340611,6942,220000,Jilin (province),9.5201502,5.1363144,10.25293,9.5325508,11,1,25,3,1,18,.95877975,1.3034574,1.058328,8.7570553,1158521.1,2367317.5,,,,,,,170.08774,13631.658,.98767638,,,14.677268,.4893814
1179,222400,延边朝鲜族自治州,2020,5.2429695,9.6757813,10.396774,7313,220000,Jilin (province),9.4896336,5.1905622,10.249874,9.5031233,11,1,25,3,1,18,.9582184,1.2993133,1.0577034,8.7389345,1166293.1,2374810.8,,,,,,,179.56949,13221.949,.98660082,,,14.680429,.49110994
1180,230100,哈尔滨市,2001,5.3871961,7.0083909,9.5126934,99,230000,Heilongjiang (province),6.9695411,5.3579407,9.4800348,7.1515026,8,4,,3,2,,1.0431157,1.2742527,1.415383,10.288978,3931928,10130293,2.3499999,50.82,46.830002,.25,97.650002,-.15000001,212.28732,1063.7345,.83363348,53.071831,-159.56018,16.131041,.38813567
1181,230100,哈尔滨市,2002,5.4601612,7.1239185,9.6170397,470,230000,Heilongjiang (province),7.042016,5.4339809,9.5431404,7.2245717,8,4,,3,2,,1.0414828,1.265671,1.407464,10.286824,4032385,10178711,2.5999999,53.380001,44.02,.25,97.400002,-.25,229.05931,1143.691,.83313841,57.264828,-285.92276,16.135809,.3961587
1182,230100,哈尔滨市,2003,5.5330534,7.2393484,9.7213039,841,230000,Heilongjiang (province),7.1152406,5.492373,9.5854769,7.2953362,8,4,,3,2,,1.0398957,1.2574962,1.3998426,10.286741,4109623,9763420,5.4299998,50.68,43.889999,2.8299999,94.57,-2.8299999,242.83276,1230.5796,.83519024,687.21667,-3482.54,16.094152,.42092043
1183,230100,哈尔滨市,2004,5.6057334,7.3543797,9.8252201,1212,230000,Heilongjiang (province),7.2110977,5.602313,9.6937695,7.393528,8,4,,3,2,,1.0383593,1.2497305,1.3925145,10.285905,3949731,9842133,5.1500001,50.200001,44.650002,-.28,94.849998,.28,271.05264,1354.3782,.8332426,-75.894737,379.22589,16.102182,.40130845
1184,230100,哈尔滨市,2005,5.6779613,7.4683995,9.9281826,1583,230000,Heilongjiang (province),7.4380684,5.665638,9.9027634,7.5950031,8,4,,3,2,,1.0368662,1.2423608,1.385488,10.282396,3982427,9898773,5.1599998,48.23,46.610001,.0099999998,94.839996,-.0099999998,288.77216,1699.4644,.85475963,2.8877215,-16.994642,16.107922,.40231523
1185,230100,哈尔滨市,2006,5.7494888,7.5804381,10.029256,1954,230000,Heilongjiang (province),7.5837488,5.7171249,10.030622,7.7275414,8,4,,3,2,,1.035387,1.2353399,1.3787699,10.280058,4155839,9956298,4.3600001,48.049999,47.580002,-.80000001,95.629997,.79000002,304.02957,1965.9852,.86606717,-243.22366,1553.1284,16.113716,.41740805
1186,230100,哈尔滨市,2007,5.8200355,7.6894488,10.127443,2325,230000,Heilongjiang (province),7.7154765,5.792304,10.151465,7.8518786,8,4,,3,2,,1.0338959,1.2286265,1.3723717,10.278943,4307162,10016147,5.2600002,45.630001,49.099998,.89999998,94.730003,-.89999998,327.76733,2242.7913,.87249178,294.9906,-2018.5121,16.119709,.43002185
1187,230100,哈尔滨市,2008,5.8892412,7.794394,10.221748,2696,230000,Heilongjiang (province),7.8547444,5.8728271,10.281475,7.9838452,8,4,,3,2,,1.0323663,1.2221805,1.3663136,10.274411,4355512,10078338,5.27,44.73,50.009998,.0099999998,94.739998,.0099999998,355.25189,2577.9363,.87888539,3.5525188,25.779362,16.125898,.43216571
1188,230100,哈尔滨市,2009,5.956676,7.8943009,10.311238,3067,230000,Heilongjiang (province),8.0227118,5.9585586,10.450812,8.1422052,8,4,,3,2,,1.030776,1.215965,1.3606101,10.26088,4396147,10143291,4.4200001,43.68,51.91,-.85000002,95.589996,.85000002,387.05182,3049.4355,.88736993,-328.99405,2592.0203,16.132322,.43340442
1189,230100,哈尔滨市,2010,6.0218692,7.9883471,10.395126,3438,230000,Heilongjiang (province),8.1150827,6.0635848,10.515372,8.2360096,8,4,,3,2,,1.0291096,1.2099552,1.3552688,10.256408,4608088,10078550,4.0700002,36.75,59.18,-.34999999,95.93,.34,429.91385,3344.5344,.88609886,-150.46985,1137.1417,16.125919,.45721737
1190,230100,哈尔滨市,2011,6.0843539,8.0760317,10.472976,3809,230000,Heilongjiang (province),8.2470446,6.1641517,10.636713,8.3644447,8,4,,3,2,,1.0273745,1.2041572,1.3502964,10.256956,4615490,10128812,5.54,34.27,60.189999,1.47,94.459999,-1.47,475.39767,3816.3303,.8892293,698.83459,-5610.0059,16.130894,.4556793
1191,230100,哈尔滨市,2012,6.1437683,8.1571712,10.544653,4180,230000,Heilongjiang (province),8.36415,6.2570152,10.747799,8.4788933,8,4,,3,2,,1.0255852,1.1985795,1.3456925,10.253588,5131665,10703399,5.21,35.639999,59.150002,-.33000001,94.790001,.33000001,521.65961,4290.4634,.89159471,-172.14767,1415.853,16.186071,.47944257
1192,230100,哈尔滨市,2013,6.1999507,8.2320089,10.610429,4551,230000,Heilongjiang (province),8.2949896,6.3046694,10.660558,8.4230766,8,4,,3,2,,1.0237633,1.1932327,1.3414445,10.248343,5278365,10758085,3.6199999,36.959999,59.419998,-1.59,96.379997,1.59,547.12067,4003.7615,.87977701,-869.92188,6365.981,16.191168,.49064168
1193,230100,哈尔滨市,2014,6.2530212,8.3013058,10.671086,4922,230000,Heilongjiang (province),8.319252,6.3209543,10.684704,8.4463835,8,4,,3,2,,1.0219465,1.188141,1.3375227,10.248095,5337086,10807621,3.6700001,35.299999,61.029999,.050000001,96.330002,-.050000001,556.10345,4102.0903,.88061821,27.805174,-205.10452,16.195763,.49382615
1194,230100,哈尔滨市,2015,6.3033624,8.3659792,10.727531,5293,230000,Heilongjiang (province),8.3568182,6.3347559,10.711412,8.481142,8,4,,3,2,,1.0201583,1.1833032,1.3338835,10.247504,5386992,10901625,3.4100001,33.310001,63.279999,-.25999999,96.589996,.25999999,563.83173,4259.1216,.88309407,-146.59624,1107.3716,16.204422,.49414578
1195,230100,哈尔滨市,2016,6.3515267,8.4269934,10.780706,5664,230000,Heilongjiang (province),8.3961906,6.3647261,10.746452,8.5194197,8,4,,3,2,,1.0184064,1.1786933,1.3304815,10.245917,5426726,10949907,2.72,31.77,65.510002,-.69,97.279999,.69,580.98566,4430.1587,.88406128,-400.8801,3056.8096,16.208841,.49559563
1196,230100,哈尔滨市,2017,6.3981447,8.4852877,10.83151,6035,230000,Heilongjiang (province),8.4527369,6.3279362,10.786392,8.5655804,8,4,,3,2,,1.0166899,1.1742752,1.3272629,10.257083,5514784,11002562,2.55,30.49,66.949997,-.17,97.440002,.16,559.99963,4687.8853,.8932904,-95.199936,750.06165,16.213638,.50122726
1197,230100,哈尔滨市,2018,6.4438801,8.5417271,10.880757,6406,230000,Heilongjiang (province),8.4897146,6.3604631,10.813349,8.6020842,8,4,,3,2,,1.0150054,1.1700143,1.3241746,10.268242,5537023,11045510,2,29.059999,68.949997,-.55000001,98.010002,.56999999,578.51422,4864.4775,.89371395,-318.18283,2772.7522,16.217535,.50129175
1198,230100,哈尔滨市,2019,6.4892216,8.5970917,10.929151,6777,230000,Heilongjiang (province),8.5052271,6.4230933,10.843866,8.6227112,8,4,,3,2,,1.0133491,1.1658787,1.3211766,10.283429,5560603,11084854,.64999998,24.700001,74.650002,-1.35,99.349998,1.34,615.90533,4940.5259,.88915449,-831.47223,6620.3047,16.22109,.50163972
1199,230100,哈尔滨市,2020,6.5344486,8.6520338,10.977224,7148,230000,Heilongjiang (province),8.4831457,6.4886856,10.849097,8.6107359,8,4,,3,2,,1.0117155,1.1618392,1.3182431,10.27107,5581474,11119967,,,,,,,657.65839,4832.6279,.88021421,,,16.224253,.50193262
1200,230200,齐齐哈尔市,2001,4.5781121,5.4268947,8.70504,106,230000,Heilongjiang (province),5.3593674,4.5396986,8.6457205,5.7244115,13,7,9,4,4,8,.95455241,.98670793,1.2028116,10.630255,1504068.1,6134190.5,15.14,40.459999,44.400002,.83999997,84.860001,-.83999997,93.662567,212.59041,.694166,78.676552,-178.57594,15.629389,.24519423
1201,230200,齐齐哈尔市,2002,4.6523933,5.5389194,8.8052244,477,230000,Heilongjiang (province),5.5018201,4.6335335,8.7740793,5.8522444,13,7,9,4,4,8,.95356685,.98407215,1.1992459,10.630535,1561402,6162175.5,16.33,38.73,44.939999,1.1900001,83.669998,-1.1900001,102.87694,245.1377,.70438904,122.42356,-291.71387,15.633941,.25338486
1202,230200,齐齐哈尔市,2003,4.7265787,5.650775,8.9052601,848,230000,Heilongjiang (province),5.5556812,4.6809716,8.7996206,5.904211,13,7,9,4,4,8,.95260274,.98155636,1.1958075,10.630367,1475505.9,5609896,17.5,37.049999,45.439999,1.17,82.489998,-1.1799999,107.87483,258.70316,.70572472,126.21355,-305.26971,15.540043,.2630184
1203,230200,齐齐哈尔市,2004,4.8005252,5.7622004,9.004921,1219,230000,Heilongjiang (province),5.6607833,4.7938242,8.9173727,6.0116005,13,7,9,4,4,8,.95166761,.97917128,1.1924936,10.629153,1433681.3,5661485,16.48,39,44.509998,-1.02,83.510002,1.02,120.76231,287.37366,.70411253,-123.17755,293.12112,15.549197,.25323415
1204,230200,齐齐哈尔市,2005,4.8739748,5.8726959,9.1037169,1590,230000,Heilongjiang (province),5.8270192,4.871954,9.0625095,6.1525655,13,7,9,4,4,8,.95076174,.97691709,1.189306,10.627595,1441534.9,5694007.5,19.4,34.509998,46.09,2.9200001,80.599998,-2.9100001,130.57581,339.34564,.72213268,381.28137,-987.49585,15.554925,.253167
1205,230200,齐齐哈尔市,2006,4.9466538,5.9815087,9.2009392,1961,230000,Heilongjiang (province),5.9765162,4.9172153,9.1940374,6.2741718,13,7,9,4,4,8,.9498744,.97477168,1.1862441,10.625307,1586576.8,5727413.5,19.33,34.16,46.509998,-.07,80.669998,.07,136.62164,394.06516,.74255693,-9.5635147,27.58456,15.560775,.27701452
1206,230200,齐齐哈尔市,2007,5.0182838,6.0877724,9.2957764,2332,230000,Heilongjiang (province),6.0905495,4.9915714,9.2964458,6.37814,13,7,9,4,4,8,.94899213,.9727093,1.1833177,10.623254,1644776,5762280,21.190001,33.279999,45.540001,1.86,78.82,-1.85,147.16751,441.66403,.75006855,273.73157,-817.07849,15.566844,.28543839
1207,230200,齐齐哈尔市,2008,5.0885119,6.1906066,9.3873968,2703,230000,Heilongjiang (province),6.2337418,5.0668058,9.429615,6.5047755,13,7,9,4,4,8,.94809926,.97070259,1.1805431,10.622651,1665123,5798054.5,17.219999,32.959999,49.82,-3.97,82.779999,3.96,158.66672,509.65894,.76259071,-629.90686,2018.2494,15.573033,.2871865
1208,230200,齐齐哈尔市,2009,5.1569185,6.2891393,9.4749756,3074,230000,Heilongjiang (province),6.4290247,5.1622939,9.6227636,6.6772518,13,7,9,4,4,8,.94717795,.96872079,1.1779313,10.621289,1684460.4,5835373,18,31.059999,50.939999,.77999997,82,-.77999997,174.56444,619.5694,.7801826,136.16026,-483.2641,15.579449,.28866372
1209,230200,齐齐哈尔市,2010,5.2230301,6.3826056,9.5577879,3445,230000,Heilongjiang (province),6.5145183,5.264442,9.6840067,6.7664304,13,7,9,4,4,8,.94621372,.9667415,1.1754839,10.619617,1843525.9,5798595.5,18.23,30.379999,51.389999,.23,81.769997,-.23,193.33839,674.86877,.77731305,44.467831,-155.21982,15.573126,.31792629
1210,230200,齐齐哈尔市,2011,5.2863865,6.4705906,9.6354828,3816,230000,Heilongjiang (province),6.6112967,5.3634796,9.7656918,6.8637123,13,7,9,4,4,8,.94521838,.96478176,1.1732041,10.618484,1851966,5826643,18.18,31.35,50.470001,-.050000001,81.82,.050000001,213.46643,743.44641,.77692175,-10.673322,37.172321,15.577951,.31784442
1211,230200,齐齐哈尔市,2012,5.3466311,6.553009,9.7080221,4187,230000,Heilongjiang (province),6.6765847,5.4514375,9.8257027,6.9341021,13,7,9,4,4,8,.94421351,.96287084,1.1710925,10.6168,1727845.9,5408442.5,1.74,41.209999,57.049999,-16.440001,98.260002,16.440001,233.09299,793.60413,.77296811,-3832.0488,13046.853,15.503471,.31947199
1212,230200,齐齐哈尔市,2013,5.4035997,6.630127,9.7756948,4558,230000,Heilongjiang (province),6.6658697,5.5157466,9.798315,6.9409208,13,7,9,4,4,8,.94322276,.9610393,1.169143,10.613559,1809109.8,5434103,17.17,28.74,54.09,15.43,82.830002,-15.43,248.57549,785.146,.75953341,3835.5198,-12114.803,15.508205,.33291784
1213,230200,齐齐哈尔市,2014,5.4573908,6.7025208,9.8390827,4929,230000,Heilongjiang (province),6.7313166,5.530036,9.8657026,6.9943027,13,7,9,4,4,8,.94226736,.95931172,1.1673372,10.611922,1814073.6,5457263.5,16.450001,27.799999,55.75,-.72000003,83.550003,.72000003,252.15298,838.25012,.76875252,-181.55016,603.5401,15.512458,.33241451
1214,230200,齐齐哈尔市,2015,5.5083818,6.7708545,9.8988256,5300,230000,Heilongjiang (province),6.7720871,5.5490232,9.8951778,7.0300779,13,7,9,4,4,8,.9413507,.95768511,1.1656541,10.611484,1828788,5504981.5,16.889999,27.129999,55.98,.44,83.110001,-.44,256.98639,873.13232,.77260232,113.07401,-384.17822,15.521164,.33220601
1215,230200,齐齐哈尔市,2016,5.5571342,6.835865,9.9556293,5671,230000,Heilongjiang (province),6.8317204,5.5636892,9.9494514,7.0796618,13,7,9,4,4,8,.94046503,.95614034,1.1640767,10.610941,1836675.8,5529349.5,12.06,26.84,61.099998,-4.8299999,87.940002,4.8299999,260.78314,926.78381,.78040552,-1259.5825,4476.3657,15.52558,.33216849
1216,230200,齐齐哈尔市,2017,5.6043086,6.8982925,10.01019,6042,230000,Heilongjiang (province),6.8892713,5.5273962,9.9890041,7.1173468,13,7,9,4,4,8,.93959743,.95465165,1.1625856,10.612742,1840716.5,5551477,12.36,24.049999,63.59,.30000001,87.639999,-.30000001,251.48824,981.68579,.79606426,75.446472,-294.50574,15.529574,.33157238
1217,230200,齐齐哈尔市,2018,5.6505833,6.9588666,10.06319,6413,230000,Heilongjiang (province),6.9426851,5.5733747,10.032946,7.1692486,13,7,9,4,4,8,.938739,.95319986,1.1611575,10.613401,1847083.5,5573156,12.37,21.52,66.110001,.0099999998,87.629997,-.0099999998,263.32126,1035.5471,.79726869,2.6332126,-10.355471,15.533472,.33142504
